Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-12-13 15:10:42,false,"Maldonado Running","7.00","468","00:31:27","153","174","3.3","174","180","4:30","4:03","16","13","1.28","0.0","0.0","0.0","0.0","0.0","31:27","0:00","24.0","0:00","No","02:32.43","5","0.0"
Running,2020-12-11 06:11:20,false,"Montevideo Running","6.55","498","00:30:55","164","186","4.1","172","180","4:43","4:09","40","29","1.23","0.0","0.0","0.0","0.0","0.0","30:55","0:00","24.0","0:00","No","00:31.69","5","0.0"
Running,2020-12-08 06:36:23,false,"Montevideo Carrera","5.50","442","00:25:24","175","188","4.3","170","180","4:37","4:05","29","25","1.28","0.0","0.0","0.0","0.0","0.0","25:24","0:00","21.0","0:00","No","03:08.67","4","0.0"
Running,2020-12-03 18:55:57,false,"Zaventem Carrera","4.00","286","00:19:28","152","167","2.9","170","176","4:52","4:18","34","7","1.21","0.0","0.0","0.0","0.0","0.0","19:28","0:00","15.0","0:00","No","04:02.46","3","0.0"
Running,2020-12-02 09:07:56,false,"Antwerp Carrera","4.96","357","00:24:16","152","163","3.1","171","178","4:53","3:41","29","6","1.19","0.0","0.0","0.0","0.0","0.0","24:16","0:00","16.0","0:00","No","00:30.42","4","0.0"
Running,2020-11-30 14:25:34,false,"Antwerp Carrera","6.51","418","00:29:59","147","175","3.1","171","182","4:36","3:53","43","21","1.27","0.0","0.0","0.0","0.0","0.0","29:59","0:00","14.0","0:00","No","00:18.33","5","0.0"
Running,2020-11-28 15:23:11,false,"Antwerp Carrera","8.00","550","00:37:56","152","164","3.5","174","182","4:44","3:23","26","15","1.21","0.0","0.0","0.0","0.0","0.0","37:56","0:00","15.0","0:00","No","07:20.87","5","0.0"
Running,2020-11-27 09:00:41,false,"Antwerp Carrera","5.01","340","00:25:35","144","176","2.8","170","178","5:07","4:46","30","9","1.15","0.0","0.0","0.0","0.0","0.0","25:35","0:00","15.0","0:00","No","00:50.64","4","0.0"
Running,2020-11-25 08:42:07,false,"Antwerp Carrera","5.56","387","00:25:54","157","171","3.2","175","184","4:39","3:58","53","10","1.22","0.0","0.0","0.0","0.0","0.0","25:54","0:00","17.0","0:00","No","03:39.27","4","0.0"
Running,2020-11-22 18:36:32,false,"Zaventem Carrera","10.00","720","00:46:38","162","179","4.5","175","184","4:40","4:08","49","40","1.23","0.0","0.0","0.0","0.0","0.0","46:38","0:00","15.0","0:00","No","01:28.85","7","0.0"
Running,2020-11-20 14:28:15,false,"Antwerp Carrera","5.00","343","00:22:58","155","186","3.3","174","182","4:36","4:17","30","9","1.25","0.0","0.0","0.0","0.0","0.0","22:58","0:00","17.0","0:00","No","00:47.48","4","0.0"
Running,2020-11-19 15:21:29,false,"Antwerp Carrera","4.44","308","00:20:31","157","179","3.3","173","182","4:37","4:11","21","14","1.25","0.0","0.0","0.0","0.0","0.0","20:31","0:00","18.0","0:00","No","05:43.84","3","0.0"
Running,2020-11-13 17:30:55,false,"Zaventem Carrera","7.00","519","00:34:00","159","176","3.9","170","182","4:51","3:58","41","24","1.21","0.0","0.0","0.0","0.0","0.0","34:00","0:00","19.0","0:00","No","02:54.23","5","0.0"
Running,2020-11-10 15:37:05,false,"Antwerp Carrera","6.00","464","00:26:39","173","190","4.6","174","182","4:26","4:08","8","9","1.29","0.0","0.0","0.0","0.0","0.0","26:39","0:00","17.0","0:00","No","05:06.51","4","0.0"
Running,2020-11-09 17:11:18,false,"Antwerp Carrera","8.00","589","00:40:16","150","167","3.6","169","180","5:02","3:42","8","5","1.18","0.0","0.0","0.0","0.0","0.0","40:16","0:00","16.0","0:00","No","06:49.56","5","0.0"
Running,2020-11-07 16:22:27,false,"Antwerp Carrera","6.00","394","00:26:57","150","167","3.3","171","182","4:29","3:57","13","2","1.30","0.0","0.0","0.0","0.0","0.0","26:57","0:00","18.0","0:00","No","05:04.47","4","0.0"
Running,2020-11-04 15:43:18,false,"Antwerp Carrera","10.00","681","00:46:32","153","179","4.1","173","182","4:39","4:10","14","5","1.24","0.0","0.0","0.0","0.0","0.0","46:32","0:00","17.0","0:00","No","01:34.51","7","0.0"
Running,2020-11-02 18:41:59,false,"Zaventem Carrera","6.00","407","00:28:00","150","163","3.3","171","180","4:40","4:04","25","22","1.25","0.0","0.0","0.0","0.0","0.0","28:00","0:00","19.0","0:00","No","05:25.51","4","0.0"
Running,2020-10-30 14:01:06,false,"Antwerp Carrera","8.00","555","00:38:56","150","174","3.6","172","178","4:52","4:33","14","11","1.20","0.0","0.0","0.0","0.0","0.0","38:56","0:00","19.0","0:00","No","07:34.78","5","0.0"
Running,2020-10-29 14:57:56,false,"Antwerp Carrera","6.00","375","00:27:16","146","158","3.1","173","231","4:33","4:18","20","16","1.28","0.0","0.0","0.0","0.0","0.0","27:16","0:00","16.0","0:00","No","05:11.67","4","0.0"
Running,2020-10-25 16:07:26,false,"Antwerp Carrera","5.00","339","00:23:01","155","179","3.4","172","182","4:36","3:49","28","14","1.26","0.0","0.0","0.0","0.0","0.0","23:01","0:00","18.0","0:00","No","00:39.36","4","0.0"
Running,2020-10-15 14:57:29,false,"Antwerp Carrera","5.00","330","00:23:39","150","175","3.2","172","180","4:44","4:10","14","6","1.23","0.0","0.0","0.0","0.0","0.0","23:39","0:00","17.0","0:00","No","00:45.64","4","0.0"
Running,2020-10-09 19:22:29,false,"Antwerp Carrera","5.00","332","00:23:38","150","171","3.3","171","181","4:44","4:01","31","3","1.24","0.0","0.0","0.0","0.0","0.0","23:38","0:00","18.0","0:00","No","00:44.02","4","0.0"
Running,2020-09-26 15:28:26,false,"Antwerp Carrera","5.00","332","00:23:39","151","170","3.3","172","178","4:44","4:18","8","1","1.23","0.0","0.0","0.0","0.0","0.0","23:39","0:00","20.0","0:00","No","00:47.22","4","0.0"
Running,2020-09-09 10:37:14,false,"Froidchapelle Carrera","6.00","477","00:30:09","166","199","4.7","170","178","5:01","3:57","39","41","1.16","0.0","0.0","0.0","0.0","0.0","30:09","0:00","23.0","0:00","No","05:46.36","4","0.0"
Running,2020-09-08 09:42:48,false,"Froidchapelle Carrera","4.00","275","00:20:04","148","165","3.0","172","178","5:01","4:31","20","17","1.16","0.0","0.0","0.0","0.0","0.0","20:04","0:00","20.0","0:00","No","03:54.59","3","0.0"
Running,2020-09-03 09:11:55,false,"Nuremberg Carrera","4.50","315","00:22:55","149","168","3.0","172","180","5:05","4:27","20","18","1.14","0.0","0.0","0.0","0.0","0.0","22:55","0:00","18.0","0:00","No","07:02.39","3","0.0"
Running,2020-08-31 10:34:09,false,"Nuremberg Carrera","3.00","221","00:15:34","152","169","3.0","168","184","5:11","4:12","24","19","1.15","0.0","0.0","0.0","0.0","0.0","15:34","0:00","19.0","0:00","No","07:19.94","2","0.0"
